PERMNO	date	TICKER	PRC
12490	2020-01-31	IBM	143.73000
12490	2020-02-28	IBM	130.14999
12490	2020-03-31	IBM	110.93000
12490	2020-04-30	IBM	125.56000
12490	2020-05-29	IBM	124.90000
12490	2020-06-30	IBM	120.77000
12490	2020-07-31	IBM	122.94000
12490	2020-08-31	IBM	123.31000
12490	2020-09-30	IBM	121.67000
12490	2020-10-30	IBM	111.66000
12490	2020-11-30	IBM	123.52000
12490	2020-12-31	IBM	125.88000
55976	2020-01-31	WMT	114.49000
55976	2020-02-28	WMT	107.68000
55976	2020-03-31	WMT	113.62000
55976	2020-04-30	WMT	121.55000
55976	2020-05-29	WMT	124.06000
55976	2020-06-30	WMT	119.78000
55976	2020-07-31	WMT	129.39999
55976	2020-08-31	WMT	138.85001
55976	2020-09-30	WMT	139.91000
55976	2020-10-30	WMT	138.75000
55976	2020-11-30	WMT	152.78999
55976	2020-12-31	WMT	144.14999
84788	2020-01-31	AMZN	2008.71997
84788	2020-02-28	AMZN	1883.75000
84788	2020-03-31	AMZN	1949.71997
84788	2020-04-30	AMZN	2474.00000
84788	2020-05-29	AMZN	2442.37012
84788	2020-06-30	AMZN	2758.82007
84788	2020-07-31	AMZN	3164.67993
84788	2020-08-31	AMZN	3450.95996
84788	2020-09-30	AMZN	3148.72998
84788	2020-10-30	AMZN	3036.14990
84788	2020-11-30	AMZN	3168.04004
84788	2020-12-31	AMZN	3256.92993
